t,r,y,u
4.070000,1.000000,0.851709,0.896809
4.080000,1.000000,0.852163,0.897110
4.090000,1.000000,0.852615,0.897411
4.100000,1.000000,0.853066,0.897711
4.110000,1.000000,0.853516,0.898010
4.120000,1.000000,0.853964,0.898308
4.130000,1.000000,0.854410,0.898606
4.140000,1.000000,0.854855,0.898902
4.150000,1.000000,0.855298,0.899198
4.160000,1.000000,0.855740,0.899493
4.170000,1.000000,0.856181,0.899787
4.180000,1.000000,0.856620,0.900081
4.190000,1.000000,0.857057,0.900373
4.200000,1.000000,0.857493,0.900665
4.210000,1.000000,0.857928,0.900956
4.220000,1.000000,0.858361,0.901247
4.230000,1.000000,0.858793,0.901536
4.240000,1.000000,0.859223,0.901825
4.250000,1.000000,0.859652,0.902113
4.260000,1.000000,0.860080,0.902400
4.270000,1.000000,0.860506,0.902686
4.280000,1.000000,0.860930,0.902972
4.290000,1.000000,0.861354,0.903257
4.300000,1.000000,0.861775,0.903541
4.310000,1.000000,0.862196,0.903824
4.320000,1.000000,0.862615,0.904106
4.330000,1.000000,0.863033,0.904388
4.340000,1.000000,0.863449,0.904669
4.350000,1.000000,0.863864,0.904949
4.360000,1.000000,0.864278,0.905229
4.370000,1.000000,0.864690,0.905507
4.380000,1.000000,0.865101,0.905785
4.390000,1.000000,0.865511,0.906062
4.400000,1.000000,0.865919,0.906338
4.410000,1.000000,0.866326,0.906614
4.420000,1.000000,0.866732,0.906889
4.430000,1.000000,0.867136,0.907163
4.440000,1.000000,0.867539,0.907436
4.450000,1.000000,0.867941,0.907708
4.460000,1.000000,0.868341,0.907980
4.470000,1.000000,0.868740,0.908251
4.480000,1.000000,0.869138,0.908521
4.490000,1.000000,0.869534,0.908791
4.500000,1.000000,0.869930,0.909059
4.510000,1.000000,0.870324,0.909327
4.520000,1.000000,0.870716,0.909594
4.530000,1.000000,0.871108,0.909861
4.540000,1.000000,0.871498,0.910127
4.550000,1.000000,0.871887,0.910391
4.560000,1.000000,0.872275,0.910656
4.570000,1.000000,0.872661,0.910919
4.580000,1.000000,0.873046,0.911182
4.590000,1.000000,0.873430,0.911444
4.600000,1.000000,0.873813,0.911705
4.610000,1.000000,0.874194,0.911966
4.620000,1.000000,0.874575,0.912225
4.630000,1.000000,0.874954,0.912484
4.640000,1.000000,0.875332,0.912743
4.650000,1.000000,0.875708,0.913000
4.660000,1.000000,0.876084,0.913257
4.670000,1.000000,0.876458,0.913513
4.680000,1.000000,0.876831,0.913769
